1 account 1
2 activ 1
3 ad 3
4 addit 1
5 aden 1
6 advisori 1
7 afghanistan 3
8 afundament 1
9 agenc 1
10 aggress 1
11 ago 1
12 air 1
13 al 1
14 alert 1
15 allen 1
16 allow 2
17 america 1
18 american 5
19 analyst 1
20 announc 3
21 answer 1
22 anthoni 1
23 arabian 1
24 arctic 1
25 area 3
26 arm 1
27 arriv 1
28 ask 1
29 assist 1
30 associ 1
31 attack 5
32 attempt 1
33 attract 1
34 august 2
35 averag 2
36 ban 1
37 bank 2
38 barak 1
39 barent 2
40 baron 1
41 base 1
42 basket 3
43 bc 1
44 begin 3
45 believ 1
46 bell 2
47 best 1
48 big 3
49 billet 1
50 bin 1
51 blast 3
52 board 5
53 bodi 9
54 bomber 1
55 boston 3
56 broadcom 1
57 broke 1
58 brown 3
59 bruis 1
60 buck 7
61 built 2
62 burst 1
63 caffei 3
64 call 1
65 came 2
66 camera 1
67 campbel 2
68 carrier 1
69 case 4
70 cassel 5
71 catastroph 1
72 caus 1
73 cautiou 1
74 center 1
75 central 1
76 chang 1
77 charlott 6
78 check 1
79 chief 1
80 chines 1
81 chipmak 1
82 christian 1
83 chuck 1
84 claim 1
85 clear 1
86 close 2
87 cnn 1
88 coast 1
89 cole 4
90 coleman 2
91 colleg 3
92 combin 2
93 come 1
94 command 1
95 commiss 1
96 committe 1
97 commun 1
98 compani 1
99 concert 1
100 conclus 1
101 condit 2
102 confidenti 1
103 confirm 1
104 congress 1
105 consider 1
106 continut 1
107 council 1
108 court 1
109 crew 3
110 crippl 1
111 crowd 1
112 cut 1
113 dai 1
114 damag 1
115 danc 1
116 danger 1
117 data 1
118 davi 1
119 david 1
120 dec 1
121 decid 1
122 decis 5
123 deck 1
124 defeat 1
125 defend 1
126 defens 1
127 delawar 1
128 deleg 1
129 depart 1
130 depth 1
131 deputi 2
132 derrick 1
133 describ 1
134 destroy 2
135 detect 1
136 develop 3
137 digit 2
138 dinghi 1
139 direct 2
140 director 1
141 disast 2
142 dismal 1
143 divis 1
144 doe 2
145 doubl 2
146 doubt 1
147 dover 1
148 dow 1
149 downturn 1
150 drew 1
151 drive 2
152 duke 1
153 dump 1
154 dunk 1
155 eagl 4
156 earli 4
157 earn 1
158 east 3
